Trip_ID,Trip_Status,Trip_Date_Day,Trip_Passenger_ID,Trip_Driver_ID,Drop_Location,Pickup_Location
208652485,FALSE,2021-10-01,2180563221,2164126955,"42746 Sunbrook Circle","80 Jana Lane"
321723074,TRUE,2021-06-05,3944637283,4439643574,"71 Columbus Trail","67 Portage Terrace"
449735648,FALSE,2021-10-15,8651853041,9567664900,"21113 Cambridge Place","901 Amoth Drive"
475417631,FALSE,2021-12-28,2329248660,2581383089,"35 Colorado Way","67722 Reindahl Plaza"
619667133,FALSE,2021-11-07,3503264620,4116270156,"30813 Mockingbird Avenue","87318 Washington Point"
684219956,FALSE,2021-10-09,4732283950,6134704687,"374 Gulseth Point","05 Village Point"
691035164,FALSE,2021-07-03,4530976610,5983500163,"02970 Prairie Rose Place","42372 Pennsylvania Crossing"
696555379,TRUE,2021-07-22,8384565740,8961932144,"9 Rockefeller Way","4947 Moulton Junction"
715139703,FALSE,2021-03-30,1266339140,1559319216,"44061 Center Circle","10873 Melby Trail"
768840066,FALSE,2021-10-09,2707181900,3414667029,"0046 Bowman Pass","2 Lyons Terrace"
838732070,TRUE,2022-01-03,3184757188,3883257230,"2 Charing Cross Avenue","001 Oak Valley Lane"
889047693,FALSE,2021-06-03,317155210,397184204,"24 Kings Pass","2 Upham Place"
981598471,FALSE,2022-02-23,4126644792,4586099526,"42085 Talisman Street","6 Carberry Alley"
1069517232,TRUE,2021-05-26,9534820873,9808651933,"95 Stang Park","93 Heffernan Road"
1147362939,FALSE,2021-03-15,109621042,56133405,"55 Gerald Terrace","605 Merchant Avenue"
1220975117,FALSE,2021-04-08,881329053,1320150322,"32 Butterfield Crossing","9 Dixon Street"
1530598036,TRUE,2021-04-16,8586173185,9206900498,"5 Sauthoff Trail","02 Stuart Road"
1624581900,FALSE,2021-05-29,6818539416,7585470118,"8748 Donald Parkway","9 Goodland Point"
1628252618,TRUE,2021-03-03,3126126790,3803496861,"250 Scott Street","88 Meadow Valley Terrace"
1674111894,FALSE,2021-10-14,8144271785,8722998926,"7618 Prairie Rose Avenue","65 Vermont Alley"
1709301473,TRUE,2021-12-24,4753689778,6146337331,"15643 Chive Junction","613 Fieldstone Park"
1840614811,FALSE,2021-08-05,3365753540,4056377693,"04492 Center Hill","6 Elka Circle"
1970505702,TRUE,2021-06-06,2673548351,3383064972,"6613 Westerfield Point","1 Swallow Pass"
2001134495,TRUE,2021-11-08,8345625827,8902026825,"3 Reindahl Crossing","2 Forster Point"
2089627204,FALSE,2021-11-16,7025101451,8254577218,"6111 Darwin Point","7418 Bowman Avenue"
2112001078,TRUE,2021-08-16,6208859301,7361295819,"83303 Judy Park","50597 Sullivan Lane"
2157669469,TRUE,2021-09-07,6152423376,7291370108,"20 Bunting Place","51009 Bunker Hill Parkway"
2224771959,FALSE,2021-11-03,906391121,1321549504,"36 Browning Road","152 Sachs Street"
2360679031,TRUE,2021-06-05,7889663021,8557800926,"74219 Marquette Way","911 Hooker Plaza"
2492869148,FALSE,2021-04-15,4487845238,5568846952,"3 Fulton Hill","6 Orin Crossing"
2541400209,1,2018-10-09,9534820873,9775948630,"9012 Carioca Point","0 Packers Drive"
2588633420,FALSE,2022-04-28,317155210,623626160,"24 Kings Pass","2 Upham Place"
2611214603,FALSE,2021-08-04,4132567958,4593231361,"09991 Briar Crest Terrace","062 Dixon Place"
2648939199,FALSE,2021-06-06,4342422980,5177425878,"0 Lakewood Gardens Terrace","7808 Pawling Lane"
2704936013,TRUE,2021-06-17,2226423281,2263997350,"1 Green Place","723 Harbort Avenue"
2751432395,FALSE,2021-06-23,4030430554,4487270162,"9171 Utah Drive","94 Park Meadow Parkway"
2814420178,TRUE,2021-03-25,765319829,1137398825,"819 Mccormick Parkway","417 Emmet Court"
3042063356,FALSE,2021-06-23,4713523291,6134271403,"864 Russell Avenue","17 Mayfield Road"
3120204102,TRUE,2021-03-29,6837142518,7669733594,"1794 Hallows Hill","0 Towne Avenue"
3224511206,TRUE,2021-09-11,4705966023,6072677037,"40 Bunker Hill Center","65085 Susan Plaza"
3364771057,FALSE,2021-09-10,9204752939,9775948630,"75565 Warrior Street","77486 Morrow Drive"
3550393709,FALSE,2021-10-07,9834425724,47651177741,"36 Drewry Terrace","32 Hanover Hill"
3606884664,TRUE,2021-12-17,6746463303,7511797784,"60 David Crossing","0922 Almo Place"
3701378517,0,2020-07-19,4132567958,7361295819,"1149 8th Parkway","0 Warbler Avenue"
3847261339,TRUE,2021-03-01,3191551123,3919670310,"0 Talmadge Point","2529 East Pass"
3913141189,TRUE,2021-06-06,5774857638,7279936865,"07810 Springs Junction","683 Twin Pines Crossing"
3959372655,TRUE,2021-04-02,4869677059,6709473858,"38 Hovde Circle","987 Briar Crest Pass"
4023584258,1,2016-01-21,8827080759,9614162066,"8 Stephen Road","3 Parkside Street"
4046792051,TRUE,2021-06-12,1792844875,1912637936,"72347 Brentwood Parkway","878 Killdeer Lane"
4149446148,FALSE,2021-10-31,3871944289,4193366693,"8038 Sommers Trail","543 Union Plaza"
4238924320,FALSE,2021-10-17,3626242374,4121431782,"89 Pawling Avenue","3420 Doe Crossing Pass"
4318319067,TRUE,2021-05-11,5528481074,7028572544,"6 Buell Street","364 Nancy Road"
4433287148,FALSE,2021-05-24,4249098702,4854753919,"300 Ridgeview Trail","6260 Grayhawk Drive"
4534724462,TRUE,2022-01-06,1385217707,1610347498,"84 Carey Circle","004 Lawn Center"
4794715986,FALSE,2022-01-10,4494047643,5731530955,"58267 Rieder Alley","31815 Golf View Circle"
4858113787,FALSE,2022-01-02,8827080759,9614162066,"3983 Hanover Circle","28 Sheridan Lane"
5242610077,TRUE,2021-03-27,2329711425,2628752034,"082 Shasta Hill","42 Dwight Junction"
5260833198,TRUE,2021-06-20,816331812,1158270291,"5 Acker Junction","87 Monterey Point"
5372697881,FALSE,2022-02-10,4624789423,6003100753,"8621 Bashford Plaza","5265 Merrick Terrace"
5486252935,FALSE,2021-08-17,1206729953,1527994147,"5470 Scofield Alley","19932 Charing Cross Plaza"
5538735540,TRUE,2021-07-18,468392726,472878786,"5951 Susan Avenue","5 East Hill"
5584011886,TRUE,2021-07-27,2437269355,2685935126,"4497 Kinsman Pass","3 Green Alley"
5603322268,FALSE,2021-09-03,2874022411,3696717258,"804 Marcy Junction","3116 Park Meadow Pass"
5805246317,FALSE,2021-12-06,5287973535,6835431881,"2 Algoma Junction","6918 Grover Plaza"
5818346536,1,2019-01-12,9834425724,9851907111,"89106 Del Sol Avenue","3 Merry Hill"
5833171695,FALSE,2021-05-19,621943797,623626160,"19 Bayside Street","17395 Buhler Place"
6003769157,FALSE,2022-01-11,7097638028,8384240906,"0 Upham Point","20 Glacier Hill Street"
6070554957,TRUE,2021-07-27,388722827,453605419,"11447 Browning Trail","73595 Thompson Street"
6196098233,TRUE,2021-06-16,2599939399,3129939091,"9 Mayfield Hill","4996 Beilfuss Lane"
6255739430,0,2010-11-22,8384565740,8557800926,"924 Southridge Road","8 Mendota Street"
6430945278,TRUE,2021-06-27,4286778541,4958438157,"221 Claremont Road","5 Bluejay Hill"
6522089604,FALSE,2022-04-28,109621042,472878786,"55 Gerald Terrace","605 Merchant Avenue"
6592357940,FALSE,2021-10-25,225462214,231663498,"0159 3rd Avenue","4558 Lotheville Hill"
6632340156,TRUE,2021-03-10,7457445366,8421876082,"3626 Cottonwood Road","5816 Rockefeller Park"
6701775837,FALSE,2021-09-23,5712083566,7148560047,"0 Packers Junction","99553 Parkside Terrace"
6788891508,FALSE,2022-02-10,1779374399,1910143553,"2940 Thackeray Hill","7 Union Circle"
6827860833,FALSE,2022-01-27,5241369759,6735355679,"45 Badeau Junction","151 Service Park"
6853916506,TRUE,2021-04-18,8582903286,9203267735,"0483 American Ash Hill","60 Schiller Pass"
6868733062,FALSE,2022-02-18,8272322056,8765306538,"96 American Avenue","5 Basil Circle"
7031601665,FALSE,2021-07-03,1688152229,1700457578,"8073 Starling Circle","73 Towne Trail"
7112073480,TRUE,2021-07-26,8400268180,9198973282,"87 American Road","9512 Merchant Place"
7177568379,FALSE,2021-04-12,4830538317,6598338255,"66 Artisan Road","528 Linden Point"
7240892042,TRUE,2021-07-11,5678893459,7130742534,"381 Eliot Circle","60877 Northview Center"
7388647686,TRUE,2022-01-25,3492890369,4100728727,"83572 Loftsgordon Way","4392 Helena Court"
7444477523,TRUE,2021-07-28,850219213,1303440628,"8 Loeprich Avenue","98 Gale Point"
7545985583,FALSE,2021-08-22,9782617342,9851907111,"7 Fulton Drive","51 Bashford Avenue"
7598091500,FALSE,2022-04-28,225462214,472878786,"0159 3rd Avenue","4558 Lotheville Hill"
7694332093,TRUE,2021-06-11,3229897439,4020546517,"7959 Birchwood Point","912 Myrtle Crossing"
7705524465,TRUE,2021-06-19,756069866,630808341,"14 Corry Drive","4850 Northport Crossing"
7744187040,TRUE,2021-04-23,3825994732,4146571073,"4943 Warrior Road","342 Northfield Parkway"
7971392133,TRUE,2022-01-18,2503902499,3065022702,"41852 Sunfield Parkway","84254 Lotheville Way"
8031483310,TRUE,2021-05-16,4341747088,5129206673,"0801 Artisan Park","45644 Vera Road"
8034497258,TRUE,2021-03-05,4794920628,6558982862,"53491 Rieder Trail","3218 Green Lane"
8256310847,TRUE,2022-01-23,8056577289,8602027788,"4874 Corry Hill","9 Chinook Plaza"
8337118660,FALSE,2021-11-05,9111574860,9660888465,"258 Cordelia Circle","1 Mcguire Lane"
8342841413,0,2006-05-21,9534820873,9660888465,"7 Saint Paul Lane","511 Jenna Point"
8527983451,TRUE,2021-12-25,1925395065,1940416191,"25 Starling Avenue","57 Sutteridge Lane"
8776455696,TRUE,2021-05-17,2249120935,2459219075,"244 Kim Point","02466 Heffernan Avenue"
9045492067,TRUE,2021-05-24,459110594,455852200,"2816 Lake View Pass","61902 Fremont Road"
9117542170,FALSE,2021-04-28,1057772895,1481300377,"365 Veith Plaza","1 Farwell Plaza"
9167820476,TRUE,2022-01-28,8612414768,9214501521,"53855 Crownhardt Alley","49 Aberg Park"
9228817550,TRUE,2021-03-22,1448617294,1634349288,"03 Bellgrove Terrace","8823 Stuart Center"
9470026810,TRUE,2022-02-09,4801357725,6559274128,"03669 Jenna Street","544 Dennis Pass"
9523664816,FALSE,2021-11-27,608387363,558227279,"963 Bay Street","611 Reinke Way"
9681206150,TRUE,2022-01-01,848102347,1218621621,"8 Grim Way","64363 Novick Place"
9723122073,FALSE,2022-02-11,4776335700,6292926117,"62583 Little Fleur Hill","31 Milwaukee Trail"
9761924262,TRUE,2021-10-26,946844860,1472265157,"176 Gina Lane","28240 Duke Place"
9830037843,FALSE,2022-02-18,3001314540,3701472831,"7823 Oak Valley Plaza","91154 Ridgeview Pass"
9921773925,TRUE,2021-12-29,8334588151,8892751352,"07632 Thierer Park","8009 Daystar Pass"
